Review,Class
parecio simple limitado oferta productos veia limpiolo ahi veia encuentra cualquier parte pais,2
hotel agradable buena ubicacion recorrer centro historico puebla usar vehiculo hace falta servicio cafe cortesia alberca pequena funciono bien conocer museos iglesias sitios interes hacer uso vehiculo,4
bueno visitar iglesia perooo vale pena restaurantes vista falto probar comida simplemente vista vale penaes mirador natural varias cosas pasar mananaes necesario llevar frio incluso junta taquilla vendedores bufandas gorritos necesitara,4
hotel melia habana hotel lujoso habitaciones espaciosas estan bien amuebladas comodo bano piscina bien bar piscina monton tumbonas sol sombra desayuno amplia variedad elegantes opciones lastima hotel mayoria personal arrogante muestran interes huespedes solo hombres mantenimiento senoras limpieza amable llegamos hotel despues largo viaje queriamos tomar bano cambiar ropa despues flotan media hora equipaje habia traido habitacion todavia vestibulo hotel tranvia conserje pregunto si equipaje podria llevados,3
primeramente encanto servicio personal realmente capacitado hospede habitaciones mas nuevas hotel area cabanas vista espectacular hacia popocateptl lugares realmente relajantes area sirven desayuno agradable puede hotel familiar bussines class dudarlo regresaria,5
paseo prado zona paseo isla lleva malecon casi capitolo puedes imaginar senoras senores bien adobada ensamblar paseos pasarela mostrando mejores armario sombra sombrilla soleada tarde primavera,5
paseo bonito pasas abajo arriba avenidas q mas impresiono limpieza agua parece alberca divertido paseo lindo pierdan,5
dias bajar dos tres veces funcionan llaves abrir habitacion ademas habia varios huespedes cubrebocas respetan numero personas elevador volveremos hotel,2
hotel antiguo cumple bien promete rico bar piscina ademas shows noches super buenos pasar buen momento gente hotel encantadora si aire acondicionado suena demasiado diria habitaciones viejas limpio queda lejos centro ciudad si,4
hotel generalidad adecuado limpio habitaciones espaciosas buen restaurante excelente ubicacion pocos minutos zona centro enfrente parque fundidora cintermex solo falta cuidar area alberca,5
hotel hace diasaparte excelente ubicacion centro habana vieja recomiendo nadie habitaciones sucias igual espanoles comentamos colchas sucias gastadas toallas roturas u oxido mias daban asco desayuno pesimo comprendiendo estabamos cuba carencias pago suciedad contrapartida dire piscina despues callejear mal hotel volvere,2
buena variedad menu rapidos atenderte comida salsas buen sabor,4
almorzamos alli semana lleno servicio bien comida regular mojitos especial teniamos buen almuerzo esperaba mas lugar p s bastante calor dentro,3
olor habitaciones algun producto quimico aire funciona bien hace ruido peor encontre mate cucaracha banoen general falta adecuacion hotel forma urgente considerando precio habitaciones,2
ambiente relajado agradable cuatro platos solo crema sopa alubias bueno rillenos sabroso camarones coco mango overfried salsa vinos frescos salmonen ensalada salmon ahumado sosomas,4
familia hermoso lugar descansar mas actividades pesar anunciadas cartelera shows pobres comida variada tardaron resolver tema wifi quejamos duramente daban informacion fehaciente adecuada lastima infraestructura tan adecuada aprovechen buen servicio volveria,4
buscando restaurante sentarse encontramos recepcionista lugar convencio liberaria mesa terraza lugar casa familia hacia comida mesa libero trajeron cartamas,3
palabras describen solo metro medellin acogedora calida ciudad excelente transporte clima comida,5
excelente restaurante ofrece opciones carta menu degustacion cocina buen gusto ingredientes locales preparados maestria visite esposa cenar experiencia placentera recepcion despedida serviciofue bueno tiempos bastante comodos visita educativa terminos gastronomia recomiendo ampliamentemas,4
vale pena miradorde ahi normal subir funicular vendimia hotel ahi tambien suben tour cobran ciento veinte persona recomiendo ir cuenta pipila funicular sale mas barato,3
habitacion tenia unas vistas estupendas oceano ventaja memorable demas recuerdos sera malo manteles sucios pesimo desayuno cucarachas muebles ascensor pelo alfombra sabanas indiferente grosero personal recepcion ademas increiblemente ruidoso fiestas piscina noches miercoles domingo quiero decir piso diecinueve daba piscina ventanas cerradas aire acondicionado funcionando siendo incapaces dormir debido vibracion amplificada base supuesto manana siguiente piscina sembrados latas cerveza colillas cigarrillos nunca alojaria aqui nuevo,1
mientras hospedes villa palmar flamencos victima robo suite ropa mujeres efectivo robaron mientras estabamos sentados junto numeroso personal complejo tenia acceso habitacion habia encontrado mantenimiento gente mantenimiento limpieza chicas esperar alguien revisar bar honor reporte incidente menos w satisfechosla respuesta personal resort si seleccionar complejo destino vacaciones ten cuidado dinero pertenencias personales espero victimized,2
sitio reliquia historia habaneraquien conocio plaza anos ochentanoventa realmente podia imaginar pudiera recuperarseestaba totalmente destruidolleno basura escombrosha sido grandioso esfuerzo oficina historiador cubano general restaurar hermosura vivieron epoca numerosas familias importantes habanano dejen visitar sitio podran apreciar valores arquitectonicos unicos cuba,5
excelente opcion viaje familiar negocios personas atienden buena disposicion ayudarte hotel pesar antiguo arreglado comodo funcional buena opcion,4
buen servicio desayuno delicioso precio excesivo obligan poner cien caracteres seccion,5
marido viajando grand velas diez anos experiencia maravillosa cada ano personal simplemente increible instalacion bien cuidado nuevos programas ninos primera categoria diez anos encontramos club ninos club adolescentes podrias desear nueva zona club gran adicion personal apoyo favoritos,5
gusto cerca habana vieja lejos turistico ir taxi alla habitacion normal abriamos ducha mojaba bano desayuno buffet rico si quiere hacer limpieza intestinal tres dias tomarse dos vasos jugo desayuno noche pasillo habia carcajadas gritos dejaban dormir llamamos recepcion nadie atendio terminamos prendiendo aire acondicionado super ruidoso escuchar borrachos pedimos agua caliente bar cargar termo trataron mandar lado final llenaron mala gana unico bueno hotel banda tocaba musica cubana noche,3
mas entrar habitacion encontramos cucaracha grande muerta muerta habla problema claro limpieza asumo cucarachas habana marmol lavabo redondel manchado puesto taza cafe vergonzoso limpieza toda tapiceria cortinas colchas tela sillas sillones daba asco tocar lleva comprobar almohadas quitandoles funda bingo circulos amarillos diversos tamanos intensidades sido lavadas regularmente esporadicamente dispongo llamar recepcion cambien almohadas ultima noche habana luna miel agotados viaje cayos estabamos dispuestos dar demasiada importancia,3
ambiente ideal pasar familia disfrutando buena atencion exquisita comida internacional cubana,5
hola verdad hacia escribia siento necesidad escribir mal asesoramiento agencia almundo mal servicio hotel contrate dos noches despues ir cayos llegar lobby hotel habia dos personas presento hacer check in dijeron espere mostrando pantalla computadora relacionado hotel quince minutos atiende persona tomarme datos edificio ocupa manzana veinticinco pisos hall importante seis ascensores cuales andaban tres dia funcionan ascensoristas q llevan alguno veinticinco pisos habitacion amplia bano bidet cama amplia amoblamiento anos ochenta,1
llegar hotel recibidos personal amable vestibulo grandioso checkin rapido eficiente habitacion mal ventiladas habia agua caliente mal gusto general gran necesidad refrescante desayuno manana debajo media nivel hotel despues dia cambiar mejor alojamiento habana ofrecer si gusta historia arquitectura cultura encima cubanos amables cocina descubierto,2
camino varadero llegamos dama recepcion dijo esperar minutos conseguir habitacion quincetreinta tras minutos dijo checkin dieciseiscero luego dieron habitacion dieciseistreinta despues largo vuelo bien llegamos habitacion ac recepcion dijeron problema aire acondicionado hotel tomar horas todas maneras dejo hotel dia todavia aire acondicionado funcionaba habitacion caliente sucio colchon demasiado blandas mantas sucias restaurante buena seleccion desayuno buffet noche incluido liquidos demasiado caro doscincuenta cocacola buffet buena mas,3
aunque pequeno ubicado corazon ciudad rodeado restaurantes costado teatro juarez ideal sentarse descansar sacar mapa ciudad tambien buen lugar contratar recorrido estudiantina callejoneada,4
veinticuatro diciembre comer compania familia carne platillo principal calidad regular buena platillo so presentan solo solo carne pregunte si acompanaban verduras papa asada algomas,3
excelente servicio personal amable habitaciones viejos sucias bebe picaron restaurantes ricos falta buena remodelacion habitaciones si afecto,5
linda experiencia gran calidad humana guias comida excelente terrible alojamientos hija llevamos cuatro dias picaduras chinches parecer trajimos bogota costo beneficio vale pena gatos perros alojamientos condiciones lamentables,5
largas filas entrar tickets caros cobran camaras fotograficas profesionales realmente vale pena tiempo precio acceso,4
staff super simpatico comida buena habitaciones agradables ubicacion agradable playa puede caminar gusto albercas variadas amplias pierdas masaje spa ensueno,5
viaje familia animales estan bien cuidados padresolo realmente cuidados covid control aforo maximo personas acceden parque zona comidas tiendas recorrido vehiculo haces vuelta rueda tanta gente tardas cuatro cinco horas dar recorrido personas guardan distancia personal cuidado detalles,4
fortaleza noche ver ceremonia canon unico cuba comenzo tiempo llegar temprano conseguir buen espacio verla ceremonia interesante ish bastante prolongarse disparar canon gratis,4
probado cabrito restaurantes gusta mas sabor presentacion creo mismo si grande chivo ke sabe gusto prefiero ir otromas,3
vista maravillosa hotel barcos paseo yate genial noche luces ven increibles caminar orilla noche dia cualquier hora puerto hermoso,4
verdad bien disenado agradable vista guias lanchas simpaticos precio parece razonable distancia recorre,4
alojado cuantos incluido mexico habia oido increible grand velas asi ansiosos estancia alli dicho wowed complejo real vestibulo zona piscina estan bien decepcionado comida restaurantes especialidades esperaba alta calidad similar hotel ep debido precios altos dijo mini bar completamente stock incluyendo pica patatas fritas frutos secos chocolate bonito detalle mayor problema hotel servicio tiempo alli acceso internet inalambrico funcionando pagar quince dolares dia internet funcionaba llame recepcion prometieron alguien mirar pedimos estancia habitacion esperar dos horas mas tarde nadie aparecio llame nuevo disculparon dijeron esperar vez hice viaje negocios necesitabamos hacer correos electronicos trabajo hora pasado nadie aparecio finalmente bajo centro negocios dijeron alguien llamaron solucionar vez mas nadie pedi gerente seguimiento conmigo nadie finalmente noche hablar director siquiera hablan ingles asi botones debia traducir tratando sonar arrogantes hotel cinco estrellas lugar mexico usted tendra gran cantidad norte americanos alojandonos necesitas gerente puede hablar ingles pregunte gerente manana hablan ingles seguimiento conmigo hacer registro salida dia siguiente supuesto llamado registro resolucion ofrecen cobraron conexion supuesto mejor cobraron reciben internet tiempo pase alli resolucion decepcionante,2
hospedamos hotel pasado diciembre llegamos habana sabiendo q hoteles lugar buenos asique preparadas hotel gral tan mal ascensor wifi pago dia q llegamos habia agua caliente amabilidad dia siguiente dejaron elegir habitacion q agua caliente gral personal amables siempre dejes propina toda habana ocurre mismo ubicacion buena queda cerca malecon unas veinte cuadras pie habana vieja,3
actividades entretenidas originales albercas excelentes limpias comida rica ambiente familiar vista mar preciosa servicio excelente recomiendo vengan visitar hotel pasas excelentes vacaciones gente super amable super atentos chicos actividades candela carlos miguel gilberto jorge adilene,5
perfecto lugar cenar romanticamente primer noche habanael chef dueno lugar plato elegir langosta hemingwayalucinante cien recomendable buen precio,5
coleccion bien presentada rellenan maravillosa fascinante personal servicial puede perder vale pena comprar libro guia detallada ingles buena experiencia aprendizaje aesthatic,5
cuba nota falta muchas cosas mantenimiento ascensores cmida escasa calidad tratarse dicen hotel cuatro estrellas habitaciones confortables igual banos pisos altos vista buena cercano mar edificios embajada rusia bastante cerca,4
parece tipo restaurante ve pasado servicio regular precios caros decoracion pesima animalista parece exhibir animales cazados mal gustosumandole luces demas,3
excelentemente bien buena calidad personal atenciom rapida eficiente habitaciones acojedoras comodas clima agradable estancia confortable cama sofa comodos descansar,5
visita obligada unico monumento colombiano reconocido unesco patrimonio humanidad hora visita mas suficiente,3
lugar agradable indispensable pasar fin semana hospedamos ahi asistir boda ciudad personal labora ahi cortez eficiente asistentes estacionamiento recepcionistas habitacion comoda piso socios fiesta rewards gracias sergio accesible atento,5
domingos gratis excelente museo parece increible oro coleccion piezas originales impresionante mejor 3er piso,5
bar moderno alguna manera todavia parecia lleno historia servicio comida buena cocteles bueno,4
excelente ubicacion especialmente si frente plaza puedes ver loros salvajes entrar salir ubicacion excelente puntos desee visitar monterrey alrededores mexico espero cierta dosis indiferencia abandono acepto parte viajar mexico servicio hotel horrible pide mas dos toallas habitacion dos camas espera dos horas pide cobija habitaciones vienen cobijas espera dia siguiente pide llave habitacion extra personal recepcion grosero lento puede ayudar ninguna manera excepto registro salida quiere informacion funcion hotel preparese preguntar tres cinco personas correr circulos conserjex0085,1
lugar emblematico habana exquisitos tragos base caracteristico ron si visitas habana podes perder,5
agradable vista maravillosa probe comida bebidas buenas pedi margarita dieron margarita frozen decir semejante sorbete limon dulce sabor tequila,2
lugar limpio ordenado hermoso areas amplias vale pena disfrutar familia momento primera vez visito vale pena acudir,4
divino espectaculo perderslo ver tropicana caro hablamos cenado sale ciento cinco dolares persona show incluido buena comida cambio aca espectacular asi quemas,4
cuesta ocho cuc llegamos barquito cruza bahia caminar ochocientos mts llegar diferente pasamos costado casa che cristo entretuvo mitad camino si pagas adicional cuc puedes azotea ver mejor dan bebida pago extra vale pena solo conocer mas parecio extraordinario,5
tome paseo orilla mar podra ver fortaleza viendo coches clasicos gran ejercicio experiencia agradable,4
lugar precioso ver atardecer conocer ciudad orillahay impresionantes acantilados fosastambien canones pasadizosademas fortaleza si faromuy recomendable,4
opiniones leimos buenas defraudo atencion genial comimos bien buena relacion calidadprecio barato precio correcto calidad pagarias espana puntito cubano muymas,4
puedes perderte visita museo paseo tiempo recorriendo evolucion humanidad,4
hotel general lindo acogedor embargo vez comentare aquellas cosas agradaron estadia checkin cuatro tarde vez esperamos poder entrar habitaciones sucedio hedor insoportable humedad motivo reclamamos pedimos habitacion principio dijeron contaban luego seguir discutiendo exigir cambio dieron servicio despertador funciono primer dia telefonee noche anterior solicitar servicio embargo manana nadie llamo levantamos atrasados oportunidad desayunar salir tour almorzamos restaurante italiano comida deliciosa personal amable,2
restaurante mayoria bien contemporaneo ambiente agradable servicio profesional comida buena especial puedes conseguir igual buena comida lugar bueno acerca esterestaurante hecho mas turistica amable profesionalmas,5
deberian quitar puestitos pone juguetitos chinos mucha gente hermoso lleno arboles cafecitos rededor descansar contemplando,5
turistada preguntas habana recomiendan calidad ninguna mucha gente interesada acudas llevan comision parece hecho dos hijos pillaron diarrea camareras monas atentas ymas,3
paseo cuba amigos taxi llevo alli quedamos sorprendidos distinto ve afuera dentro restaurante agradable buena comida tipica servicio rapido eficiente aunque elmas,4
hotel mucha historia gran infraestructura si bien excelentes instalaciones habitaciones amplias confortables puede observar pasillos u sitios comunes desgaste sufrido paso tiempo modos creo excelente opcion dormir habana dispone oferta gastronomica buena desayuno excepcional tipo buffet varios restaurantes piso superior alta calidad si vuelvo hermosa ciudad volveria alojar aqui,5
comodore fallo impresionar debido razones siguientes mal conservado limpio cortinas bastante sucios colchones estan gastadas instalaciones hotel tales piscina playa satisfactorios aroma planta baja unidades bungalows personal amable restaurantes hotel faltaba imaginacion mas importante variedad dado cubano mejor lugares abre desayuno buffet aceptable hotel bastante lejos centro taxi cobra diez dolares viaje centro ciudad,3
descampado mitad teoricamente turistico ningun tipo interes excepto dos relieves historicos revolucionarios che guevara camilo cienfuegoscompletamente prescindible visita habana,3
bueno mayo dos mil catorce restauracion lei ahi dos anos mas replica capitolio yanqui solo once metros mas alto bueno igual pasar ahi ver tambien teatro nacional cuba tambien restauracion lindo va dentro anos gusraria volver,3
buenas habitaciones espaciosas buenas instalaciones pesimo escucha musica afuera imposible dormir solo dan llave cuarto mas amable personal lastima demas volver,2
caballo metrotren experiencia embargo metrocable mas destacado forma primaria transporte masas obtener acceso muchas casas situadas bordes medellin valle tambien visita obligada turistas ochenta centavos unidos puede disfrutar bastante emocionantes paseos lados valle disfrutar vistas,4
pesimo servicio dejan acabar plato quieren retirar pesima comida comimos ropa vieja valia pagamos dos platos ropa vieja dos cervezas cafe cincuenta cucs,1
dos comidas aqui bien organizado parecia maitre d planta asegurar lugar siempre ordenado servicio alta velocidad grandes porciones comida avacado comida mar especialmente bueno personalque parecia interesado clientes siempre dada habanamas,5
recomendaron lugar decir decepcion habia muchas cosas malas amable solo habia menu ingles restaurante dos personas suficiente si habla espanol estoytan seguro si personal incluso hablan ingles todas comidas menu elegimos deliciosa comida buscando menu tenia decepcionado dijeron disponible momento comida mal si gusta grasa sal tarjeta visa funcionaba aunque probamos dos veces suerte dimos cuenta intentaron hacer demasiado pregunte recibos diferentes cantidades camarero intento explicar consejos aunque realidad cuenta menos asi intentaron mas veinte propinas servicio malo lento merece ningunamas,2
venir habana obligatorio conocer lugar tradicion lugar emblematico lleno ritmo alegria disfrutar habana vieja mojitos maravilla,5
excelente comida servicio excelente estancia paradise village restaurante practico comenzo carpaccio ternera bueno tenia sabroso filete salsa bistec gorgonzola mujer pidio salmon bueno duda volveremos,5
iba ilusion cartagena pensando ciudad magica realmente encontre magiaexisten muchas personas tratan venderte hacerte masajes ponen precios exagerados realmente producto servicio cuesta esotengan cuidado alguien acerca tomar foto dice tomara foto lugar si alguien quiere hacer tour guiado regla vital negocie primero precio tour nadie hace gratis lleve malos ratosen aeropuerto puedes llenar formulario despues devuelvan impuesto compras hechas almacenes incluye hospedaje alimentacion tours solo realizadas tarjeta creditoes preferible pagar tarjeta credito cambio mejor banco consigue casa cambiopense comida estaria excelente mayoria lugares fria recalentadasolo recomiendo casa socorro,5
recorrido escolta habana venir aqui observar gente disfrutar arquitectura cultura abrazo tienda esquina sieteonce viene rescate cvs llevar botella agua congelada desvaneceran mientras caminas tomar toalla cara hotel lugar tejido mas efectiva limpiar sudor contribuir relleno tiempo verano humedo inhalador trae,5
mejor pasar hora merienda familia disfrutando ambiente tan relajado bajo sombre bellos arboles mientras hijos juegan kiosko,5
guia abel rapido hablando amable competente hombre ascendencia maya parece demasiado despues dado famosos tours presidentes celebridades ahora merealmente necesita guia ayudarle comprender ruinas ver sabia absolutamente historia maya dos horas guiado abel facil entender divertido extra incluso ayudo conseguir billetes esperar colame quitaron estrella cientos vendedores ambulantes venden camisetas recuerdos cosas ir compras mio si encantara,5
ambiente bueno musica genial drinks estan bien mucha variedad alimentos menu ok dependiendo pidas,4
ciudad pintoresca llena comidas tipicas lindo muchas fachadas intactas callecitas angostas,4
favoritos guanajuato foto definitivamente imperdible aunque veces tanta gente puede,4
hermoso lugar religioso asciende fonicular observa vista espectacular ciudad bogota,5
oportunidad visitar macroplaza definitiva representa corazon monterrey ubicada centro ciudad podras encontrar fuente neptuno ademas museos hoteles tiendas fin lugares visitar representa si monterrey gran urbe recomiendo visitarla atardecer manana complicado sol altas temperaturas,5
caminar ciudad amurallada cartagena caminar pasado calles empedradas casas colores sonido mar sueno ir recomiendo caminar despues dieciseis horas perderse puesta sol muralla dieciochotreinta dias sol cartagena dara beso despedida,5
calificacion tres estrellas neutral promedio logramos debido cierrehacer circuito puuc gran excursion puedes hacer merida si levantas temprano puedes hacerlo dia excursion dia completolo visitamos hace ocho anos queriamos repetir mes enerodesafortunadamente primera parada ruinas uxmal supimos parte personal demas sitios kabah sayil xlapak labna estan cerrados nuevo aviso probablemente final pandemiauxmal abierto ocho m cuatro p m medidas covid estrictamente aplicadas cuales puede leer mas resena,4
hotel pintoresco limpio habitacion agradable mia primer piso supongo planta baja peores toda gente pasando ruido cocina mal pagina reserva pongan aparcamiento gratis verdad aparcamiento gratis consiste dejar vehiculo calle enfrente hotel parking importante senti enganado mal desayuno escaso opcion mal recepcionistacamarero manana domingo veintiseis marzo atencion pesima menos cocinera misma manana si capaz dar servicio atento amable comprensivo tarea principal repito,2
lugar historico interesante aunque mejor vistas agua ciudad habana,4
si habana necesita parar restaurante especialmente tomar tiempo tomar copa bar azotea grupo aplicaciones cocteles terraza oportunidad conocer vivian director fuefantastico hospitalidad mejor debe probar menu tacos frituras malangamas,4
llegamos hotel primero hicimos ir restaurante pusieran bolsa guardamos insulina mama congelador sorpresa momento irnos pedi jamas pusieron ahi casi perdemos vuelo culpa esperar congelara absolutamente nadie hizo responsable dijeron siquiera habia gerente habitaciones viejas mal muchas cosas rotas sucias,2
atencion pesima rogar coca cola nunca quisieron dar comida limitada mala aire acondicionado frio staff poca disponibilidad servicio seguridad privada bueno suficiente cafe esperaba mas colombia,1
hace dos anos re modelaron modedernizo zona museo sitio interesante visitar varias partes fuertes magnifica vista ciudad,4
ibamos muchas expectativas opiniones leidas despues esperar cola treinta minutos asi dia aunque mesas libres comida regular decoracion chula cantidad abundante nomas,3
triste hicieron lugar burla cultura maya mexicana empezando nombre hotel mayaland lleno personas vendiendo artesanias hechas china informacion edificios placa guias carisimos ademas tooooodo esperar pagar recomiendo mil veces mas ir tulum uxmal triste dejo esperando,1
desperte manana cinco manana caminamos hacia malecon entramos carretera vimos amanecer bonita forma pasar manana corredores corriendo tambien ve,4
senti mal reserva lugar olla presion ventas personas ruidoso continuado construccion trafico falta senales guia propia lugares enorme propiedad hacen conjunto desastres multipropiedad vacaciones comida bebida local razonables alta lugar servicio habitacion conductores equipo limpieza parada taxis gente increible tan eficiente atento nuevo vallarta bueno,3
habitacion bien ubicada vista mar siempre limpia personas hotel atendieron bien siempre entregaron ayuda comida restaurantes buenos falta wifi habit,4
excelente comodidad atencion servicio instalaciones piscina desayuno coctel bienvenida limpieza confort seguridad bar personal almacenes musica vivo,5
teniamos lonch ubicacion calle sesenta dos siempre ocupado turismo mayoria gente principal ubicacion casi siempre tenia linea salida puerta comida autentico barato estadounidenses sabrosolas tortillas hechas mano hecho mesa lado senora haciendo cocina parrilla pequena fresco bueno servicio lento ocupados chaya puede mezclado jugo lima pina ambos cambio esposa comento bueno duda volveremos proxima vez meridamas,4
llega habana siempre espera encontrar diferente ciudad increible multitud contrastes gente siempre dispuesta feliz ciudad si ademas gran suerte alojarte melia cohiba pleno malecon estancia puede perfecta atencion mundo sido excelente andres relaciones publicas resto personal solo buscan disfrutes hotel hotel estupendo vistas maravillosas gran suerte cuenta gestion direccion personas diego fernandez espanol deja piel trabajo excelente profesionalidad atender cliente luego si volvemos habana melia cohiba volvera,5
primer domingo mes puede pasear paseo bicicletas cortan trafico actuaciones calle actividades divertido,4
2aocasion treinta dic dos mil catorce diecisietecero hs acuario 1a novdos mil trece hecho ninguna mejora pesar costo si elevado bastante colmo nietos perdieron show delfines amontonamiento adultos primeras filas pie alrededor piscina instalado unas tribunas aprovechar espacio si minimo tanta asistencia descortesia adultos impidieron ninos presenciar show subir nietos hombros presenciaran show cierto bastante pobre comentario zona locales alimentos bebidas sucioslas mesas limpiar residuos comida olor intenso fritangas etc,3
transportas pasado ver procesaba henequen fabricacion reatas sogas etc etc aparte hotel restaurantela comida buena recomiendo reservar tour padre,5
habitaciones destrozadas camas sucias puede dormir ventanas cierran bien noche malecom musica gritos demasiadosolo gente maleante puerta hotel intentan enganar prostitucion buffete pesimo sucioun desastre total amargo estancia habana preferible ir casa local hotel caro ofrecen resumido verdad hotel deberia cerrado,1
paladar pequeno lleno gente comida servicio excelentes cerca plaza catedral lugar celebra experimental grafica,5
restaurante tipico puebla atencion excelente alimentos mejor desee visitarlo recomiendo hacer reservacion esperar asignen mesa,5
menos esperas jardin 8x8 metros afuera teatro si bonito ahi,3
puede hacer visita rapida museo muchas pinturas esculturas puede acercar pinturas alarma bastante centrico,4
habia papel sanitario habitacion tampoco agua caliente espacios bastante incomodos pues angostos columnas espacio barra cafeteria tremendamente angosto conflictivo cantidad comensales,3
comida excelente largo sencillo gourmet fresco calidad amplio bien ambientado,4
buena atencion parte jorge recomendamos queso oaxaca tamarindo entrada tambien pato mole lindo lugar recomendamos,4
cuatro personas camarero punta comer salir comida tan buena anos anteriores granos solia bueno ahora mas lugar turistico perdido servicio comida,3
esposa alojamos hotel sevilla parte luna miel espera habitacion nota felicitacion botella ron toque agradable alojamiento cuba escala diferente espera paises si comparamos espacio cuba incluso familiar bs habitaciones parecia cansado necesita renovacion necesiten cosas artilugios habitacion hotel pintura si desea experimentar bodged reparacion bastante simple ver dio sensacion descuidado afluencia dinero bastante obviola habana cuba parece tomando turismo espero planes pasar ingresos renovacion,3
hotel bien ubicado habitaciones comodas limpias excelente relacion preciocalidad encuentra ubicado peatonal morelos muchas opciones comida cerca catedral macroplaza conoci restaurante hotel encuentra bien ubicado ciudad monterrey,4
alcazar ve completo forma perfecta interesante iglesia conjunto encuentraes estilo romanico transicion goticola nave planta dodecagonal tres absides sacristia semicircular torre planta cuadradahay dos habitaculos unicamente puede acceder exterior mediante escaleras mano cuya funcion desconoce,4
despues visitar teotihuacan piramide tajin complejo piramide ofrecen diferentes vistas necesita mas trabajo restauration arqueologica quizas mas interesante visitantes,5
atencion genial personal hotel siempre pendiente todas necesidades comida deliciosa bastante variedad habitacion siempre aseada snacks cocteles buenos si seria bueno implementen opcion mejor plastico servir cocteles llevar habitacion todas personas trabajan ahi maravillosas serviciales unico malo puedo decir espera ascensores mucha si hospeda mucha gente encanto hotel lugar dudas volveriamos,3
normalmente siento tan intensamente lugares vamos lugar buena comida buena comida gourmet calidad tampoco realmente noche realidad simplemente mal servidor dulce tipo personas hacer declaracion horario asientos aire libre precioso relajante gran tiempo bar taburetes saddle vimos gran partido futbol,3
